№,Операция,Сумма
0,Перевод,"1 000,00"
,Цена за килобайт,"100,00"
1,Размещение ордера,"1 000,00"
3,Обновление залога,"2 000,00"
5,Создание аккаунта (обычный),"100,00"
,Создание аккаунта (премиум),"200 000,00"
,Цена за килобайт,"100,00"
6,"Обновление аккаунта (голосование, ключи)","200,00"
,Цена за килобайт,"100,00"
7,Изменение списка доступа (черный и белый список),"300,00"
8,Апгрейд аккаунта (годовое членство),"20 000,00"
,"Апгрейд аккаунта (пожизненное членство, сервисный аккаунт)","100 000,00"
9,Перевод аккаунта,"50 000,00"
10,Создать актив (3 символа),"50 000 000,00"
,Создать актив (4 символа),"30 000 000,00"
,Создать актив (5 и более),"2 500 000,00"
,Цена за килобайт,"0,004"
11,Обновить актив,"50 000,00"
,Цена за килобайт,"0,010"
12,Обновить SmartCoin актив,"50 000,00"
13,Обновить проставщиков котировок SmartCoin актива,"50 000,00"
14,Эмиссия актива,"2 000,00"
,Цена за килобайт,"100,00"
15,Сжечь актив,"200,00"
16,Пополнение пула комиссий актива,"100,00"
17,Запрос на погашение SmartCoin активов,"10 000,00"
18,Глобальное погашение SmartCoin  активов,"50 000,00"
19,Публикация котировок SmartCoin активов,"100,00"
20,Создание заверителя,"500 000,00"
21,Обновление заверителя,"2 000,00"
22,Создание предложения (proposal),"2 000,00"
,Цена за килобайт,"0,010"
23,Обновление предложения (proposal),"2 000,00"
,Цена за килобайт,"0,010"
24,Удаление предложения (proposal),"100,00"
25,Создание разрешения на вывод,"100,00"
26,Обновление разрешения на вывод,"100,00"
27,Истребование разрешения на вывод,"2 000,00"
,Цена за килобайт,"0,010"
29,Создание члена комитета,"500 000,00"
30,Обновление члена комитета,"2 000,00"
31,Обновление глобальных параметров Parametrs,"100,00"
32,Создание вестингового баланса,"100,00"
33,Вывод вестингового баланса,"40,00"
34,Создание работника,"500 000,00"
35,Специальная (произвольная) операция,"100,00"
,Цена за килобайт,"0,010"
36,Операция подтверждения,"100,00"
38,Перевод актива эмитентом с аккаунта на аккаунт,"200,00"
,Цена за килобайт,"0,010"
39,Перевод на слепой аккаунт,"100,00"
,Цена за килобайт,"100,00"
40,Слепой перевод,"100,00"
,Цена за килобайт,"100,00"
41,Перевод со слепого аккаунта,"100,00"
43,Взыскание комиссий с активов,"2 000,00"
49,Апгрейд аккаунта (покупка контракта) - Start,"500 000,00"
,Апгрейд аккаунта (покупка контракта) - Expert,"3 000 000,00"
,Апгрейд аккаунта (покупка контракта) - Citizen,"6 000 000,00"
,Апгрейд аккаунта (покупка контракта) - Infinity,"10 000 000,00"
55,Выставление лота,"2 000,00"
61,Сообщение,"10,00"
,Цена за килобайт,"10,00"
65,Создание объявления об обмене,"40 000,00"
,Цена за килобайт,"4 000,00"
66,Изменение объявления об обмене,"500,00"
,Цена за килобайт,"50,00"
67,Очистка блек-листа объявления,"100,00"
68,Удаление из блек-листа объявления,"10,00"
70,Отмена заявки на обмен,"50,00"
75,Успешное завершение сделки,"200,00"
78,Решение по заявке принято,"200,00"
82,Выплата по кредиту,"200,00"
83,Создание предложения о кредите,"200,00"
86,Дать под залог,"200,00"
87,Взять под залог,"200,00"
92,Обновление глобальных параметров Gamezone,"100,00"
93,Обновление глобальных параметров Staking,"100,00"
95,Стекинг Proof of Crowd,"40 000,00"
97,Обмен Silver на CWD,"200,00"
99,Перевод с арбитражем,"500,00"
104,Массовый платеж,"500,00"
,Цена за килобайт,"1,00"
106,Смена наставника,"50 000,00"
107,Создание команды Большой Гонки,"20 000,00"
108,Удаление команды Большой Гонки,"200,00"
109,Отправка приглашения в команду,"2 000,00"
111,Удаление игрока из команды,"200,00"
112,Выход из команды,"200,00"
113,Голосование за параметры Большой Гонки,"200,00"
118,Ставка на рейтинг команды,"100,00"
119,Ставка на соревнование между командами,"100,00"
,,
,Награда витнеса за создание блока,"1,00"
,,
,Минимальные суммы открытия стекинга:,
,3 месяца,"25 000,00"
,6 месяцев,"25 000,00"
,12 месяцев,"100 000,00"